Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	297.63
Elapsed Live Time:	291.92
Start Time:	April 23, 2019, 03:09:37
End Time:	April 23, 2019, 03:14:34
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		2
7		4
8		6
9		8
10		8
11		6
12		9
13		10
14		9
15		4
16		12
17		1780
18		3417
19		3572
20		3739
21		3507
22		3538
23		3469
24		3511
25		3412
26		3363
27		3317
28		3221
29		3245
30		3183
31		3046
32		3131
33		3148
34		3059
35		3028
36		3070
37		3043
38		3124
39		3000
40		2977
41		2934
42		2867
43		2926
44		2846
45		2918
46		2852
47		2838
48		2954
49		2806
50		2887
51		2839
52		2765
53		3108
54		3355
55		3514
56		3643
57		3530
58		3661
59		3495
60		3500
61		3367
62		3213
63		3173
64		3151
65		3034
66		2995
67		3009
68		2821
69		2889
70		2962
71		2841
72		2824
73		2850
74		2773
75		2722
76		2794
77		2684
78		2675
79		2652
80		2709
81		2750
82		2627
83		2725
84		2800
85		2697
86		2671
87		2749
88		2605
89		2555
90		2726
91		2757
92		2718
93		2712
94		2723
95		2784
96		2794
97		2783
98		2938
99		2845
100		2922
101		2987
102		3020
103		3128
104		3238
105		3258
106		3320
107		3347
108		3433
109		3419
110		3524
111		3651
112		3605
113		3761
114		3769
115		3464
116		3005
117		2395
118		1998
119		1768
120		1541
121		1571
122		1390
123		1374
124		1334
125		1280
126		1258
127		1229
128		1105
129		1040
130		1052
131		1028
132		948
133		935
134		902
135		842
136		845
137		796
138		734
139		718
140		678
141		622
142		582
143		577
144		576
145		530
146		530
147		519
148		499
149		478
150		497
151		482
152		462
153		429
154		452
155		466
156		486
157		421
158		474
159		441
160		446
161		453
162		441
163		438
164		477
165		405
166		469
167		445
168		449
169		420
170		430
171		441
172		413
173		440
174		494
175		548
176		577
177		2115
178		21595
179		26282
180		2753
181		379
182		313
183		320
184		324
185		353
186		334
187		322
188		347
189		310
190		288
191		334
192		309
193		304
194		317
195		295
196		302
197		318
198		329
199		315
200		301
201		303
202		340
203		294
204		293
205		306
206		328
207		311
208		293
209		267
210		286
211		318
212		310
213		290
214		299
215		292
216		298
217		285
218		319
219		308
220		303
221		295
222		289
223		261
224		292
225		290
226		296
227		285
228		313
229		300
230		297
231		302
232		280
233		304
234		317
235		295
236		352
237		283
238		343
239		323
240		340
241		342
242		316
243		293
244		344
245		299
246		323
247		298
248		370
249		295
250		298
251		318
252		330
253		296
254		317
255		291
256		309
257		341
258		335
259		301
260		288
261		314
262		323
263		279
264		333
265		295
266		318
267		333
268		351
269		300
270		335
271		331
272		316
273		302
274		300
275		331
276		298
277		341
278		330
279		319
280		320
281		326
282		322
283		286
284		313
285		321
286		326
287		332
288		317
289		336
290		323
291		306
292		330
293		298
294		357
295		329
296		344
297		333
298		337
299		353
300		344
301		325
302		334
303		351
304		315
305		315
306		329
307		342
308		352
309		360
310		353
311		312
312		349
313		351
314		341
315		358
316		367
317		354
318		337
319		395
320		395
321		372
322		405
323		394
324		350
325		382
326		363
327		384
328		379
329		402
330		378
331		402
332		402
333		385
334		438
335		404
336		409
337		447
338		425
339		392
340		399
341		407
342		444
343		467
344		463
345		450
346		475
347		402
348		461
349		453
350		495
351		485
352		507
353		513
354		443
355		509
356		504
357		522
358		520
359		504
360		524
361		578
362		558
363		563
364		544
365		558
366		588
367		623
368		622
369		594
370		635
371		649
372		592
373		659
374		681
375		667
376		677
377		654
378		658
379		636
380		640
381		521
382		485
383		376
384		329
385		259
386		311
387		268
388		255
389		229
390		227
391		212
392		224
393		222
394		232
395		210
396		184
397		204
398		186
399		217
400		200
401		198
402		171
403		190
404		174
405		165
406		149
407		128
408		154
409		124
410		129
411		142
412		116
413		110
414		101
415		97
416		76
417		81
418		64
419		54
420		67
421		58
422		61
423		51
424		40
425		53
426		37
427		29
428		41
429		23
430		36
431		28
432		30
433		20
434		35
435		23
436		23
437		22
438		24
439		21
440		29
441		27
