Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1
Upper Discriminator:	2
Lower Discriminator:	0
Calibration Coefficients:	1.3809503248807016E-7	0.002617851251796249	0.040505948341132816
Calibration Channels:	383	639	200
Calibration Energies:	1.0634	1.7697	0.5696
Elapsed Real Time:	306.36
Elapsed Live Time:	306.3
Start Time:	April 23, 2019, 03:44:35
End Time:	April 23, 2019, 03:49:42
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.040505948341132816	0
1	0.04312393768796155	0
2	0.04574220322485527	0
3	0.04836074495181396	0
4	0.05097956286883762	0
5	0.053598656975926265	0
6	0.05621802727307988	0
7	0.05883767376029847	0
8	0.06145759643758204	0
9	0.06407779530493059	0
10	0.0666982703623441	0
11	0.06931902160982262	0
12	0.07194004904736609	0
13	0.07456135267497455	0
14	0.07718293249264796	0
15	0.07980478850038636	0
16	0.08242692069818974	0
17	0.0850493290860581	23
18	0.08767201366399144	48
19	0.09029497443198974	84
20	0.09291821139005302	61
21	0.09554172453818129	80
22	0.09816551387637451	76
23	0.10078957940463273	68
24	0.10341392112295593	80
25	0.10603853903134408	68
26	0.10866343312979723	59
27	0.11128860341831534	70
28	0.11391404989689843	60
29	0.1165397725655465	64
30	0.11916577142425955	79
31	0.12179204647303755	59
32	0.12441859771188056	61
33	0.12704542514078854	53
34	0.12967252875976149	52
35	0.13229990856879942	49
36	0.1349275645679023	47
37	0.13755549675707018	68
38	0.14018370513630304	42
39	0.1428121897056009	52
40	0.1454409504649637	40
41	0.14806998741439148	44
42	0.15069930055388422	42
43	0.15332888988344195	42
44	0.15595875540306467	40
45	0.15858889711275237	35
46	0.16121931501250503	28
47	0.16385000910232267	43
48	0.1664809793822053	30
49	0.16911222585215285	37
50	0.17174374851216545	30
51	0.17437554736224298	28
52	0.1770076224023855	37
53	0.179639973632593	32
54	0.18227260105286547	32
55	0.18490550466320294	28
56	0.18753868446360533	20
