Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1
Upper Discriminator:	2
Lower Discriminator:	0
Calibration Coefficients:	1.3809503248807016E-7	0.002617851251796249	0.040505948341132816
Calibration Channels:	383	639	200
Calibration Energies:	1.0634	1.7697	0.5696
Elapsed Real Time:	536.88
Elapsed Live Time:	531.03
Start Time:	April 23, 2019, 03:27:38
End Time:	April 23, 2019, 03:37:57
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0	0.040505948341132816	0
1	0.04312393768796155	0
2	0.04574220322485527	0
3	0.04836074495181396	0
4	0.05097956286883762	0
5	0.053598656975926265	0
6	0.05621802727307988	0
7	0.05883767376029847	2
8	0.06145759643758204	3
9	0.06407779530493059	3
10	0.0666982703623441	3
11	0.06931902160982262	3
12	0.07194004904736609	5
13	0.07456135267497455	4
14	0.07718293249264796	4
15	0.07980478850038636	8
16	0.08242692069818974	11
17	0.0850493290860581	4062
18	0.08767201366399144	8080
19	0.09029497443198974	8069
20	0.09291821139005302	7994
21	0.09554172453818129	9686
22	0.09816551387637451	91667
23	0.10078957940463273	111950
24	0.10341392112295593	3592
25	0.10603853903134408	3221
26	0.10866343312979723	3127
27	0.11128860341831534	3163
28	0.11391404989689843	3096
29	0.1165397725655465	3097
30	0.11916577142425955	3070
31	0.12179204647303755	3054
32	0.12441859771188056	3251
33	0.12704542514078854	5368
34	0.12967252875976149	4239
35	0.13229990856879942	3588
36	0.1349275645679023	2780
37	0.13755549675707018	2673
38	0.14018370513630304	2691
39	0.1428121897056009	2737
40	0.1454409504649637	2876
41	0.14806998741439148	2957
42	0.15069930055388422	3066
43	0.15332888988344195	3201
44	0.15595875540306467	3305
45	0.15858889711275237	3314
46	0.16121931501250503	3294
47	0.16385000910232267	3540
48	0.1664809793822053	3630
49	0.16911222585215285	3649
50	0.17174374851216545	3742
51	0.17437554736224298	5125
52	0.1770076224023855	3898
53	0.179639973632593	3194
