Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	437.8
Elapsed Live Time:	437.4
Start Time:	April 23, 2019, 02:43:16
End Time:	April 23, 2019, 02:57:56
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		1
17		233
18		466
19		1700
20		7837
21		4073
22		255
23		521
24		2608
25		936
26		166
27		189
28		154
29		157
30		167
31		140
32		118
33		150
34		132
35		141
36		152
37		153
38		137
39		128
40		126
41		118
42		117
43		99
44		102
45		107
46		101
47		87
48		104
49		99
50		101
51		109
52		111
53		96
54		107
55		104
56		112
57		91
58		107
59		93
60		93
61		97
62		102
63		118
64		104
65		95
66		102
67		99
68		72
69		91
70		103
71		91
72		85
73		86
74		80
75		73
76		81
77		73
78		74
79		84
80		69
81		72
82		67
83		72
84		68
85		65
86		88
87		70
88		70
89		80
90		60
91		74
92		61
93		75
94		80
95		77
96		57
97		77
98		68
99		72
100		73
101		73
102		68
103		77
104		61
105		76
106		71
107		69
108		65
109		75
110		70
111		83
112		67
113		71
114		79
115		65
116		64
117		76
118		68
119		75
120		80
121		92
122		73
123		87
124		74
125		101
126		75
127		103
128		96
129		93
130		92
131		96
132		85
133		93
134		88
135		85
136		85
137		74
138		45
139		41
140		47
141		45
142		49
143		46
144		48
145		45
146		42
147		42
148		38
149		35
150		38
151		32
152		29
153		35
154		28
155		34
156		20
157		24
158		27
159		20
160		24
161		26
162		25
163		22
164		13
165		24
166		22
167		22
168		19
169		23
170		25
171		19
172		23
173		32
174		23
175		19
176		13
177		19
178		19
179		21
180		19
181		27
182		16
183		17
184		16
185		22
186		18
187		22
188		20
189		15
190		19
191		15
192		25
193		15
194		13
195		18
196		20
197		17
198		22
199		16
200		249
201		812
202		35
203		22
204		15
205		20
206		18
207		14
208		16
209		9
210		15
211		18
212		17
213		11
214		18
215		20
216		16
217		11
218		20
219		23
220		14
221		16
222		24
223		13
224		14
225		14
226		17
227		19
228		15
229		22
230		15
231		18
232		15
233		15
234		21
235		13
236		30
237		14
238		22
239		17
240		19
241		17
242		11
243		7
244		13
245		16
246		11
247		17
248		20
249		24
250		20
251		11
252		13
253		12
254		11
255		19
256		21
257		11
258		11
259		23
260		19
261		18
262		12
263		12
264		15
265		11
266		23
267		21
268		19
269		16
270		12
271		14
272		18
273		19
274		20
275		20
276		22
277		19
278		22
279		24
280		15
281		21
282		21
283		32
284		22
285		23
286		22
287		21
288		22
289		26
290		29
291		16
292		28
293		25
294		31
295		29
296		23
297		34
298		34
299		31
300		20
301		31
302		37
303		29
304		21
305		22
306		30
307		23
308		14
309		15
310		13
311		9
312		14
313		15
314		15
315		10
316		7
317		12
318		8
319		5
320		14
321		10
322		15
323		10
324		9
325		12
326		4
327		6
328		6
329		7
330		7
331		8
332		7
333		6
334		2
335		2
336		5
337		7
338		5
339		2
340		6
341		5
342		1
343		5
344		3
345		3
346		0
347		2
348		2
349		4
350		1
351		5
352		1
353		1
354		3
355		1
356		2
357		2
358		1
359		4
360		2
361		2
362		2
363		0
364		2
365		1
366		1
367		1
368		4
369		1
370		3
371		0
372		1
373		2
374		3
375		1
376		2
377		1
378		2
379		1
380		5
381		3
382		8
383		202
384		80
385		4
386		2
387		2
388		1
389		1
390		1
391		2
392		0
393		0
394		2
395		2
396		2
397		0
398		0
399		1
400		0
401		3
402		3
403		1
404		2
405		1
406		3
407		1
408		0
409		2
410		0
411		2
412		2
413		2
414		0
415		3
416		2
417		2
418		0
419		0
420		2
421		1
422		2
423		1
424		0
425		0
426		1
427		1
428		3
429		3
430		1
431		0
432		1
433		4
434		3
435		1
436		3
437		4
438		1
439		3
440		3
441		3
442		1
443		1
444		0
445		1
446		1
447		1
448		1
449		2
450		1
451		1
452		0
453		1
454		1
455		1
456		0
457		0
458		4
459		1
460		0
461		2
462		0
463		0
464		1
465		0
466		1
467		4
468		2
469		2
