Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	278.71
Elapsed Live Time:	278.16
Start Time:	April 23, 2019, 03:15:32
End Time:	April 23, 2019, 03:20:11
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		0
10		0
11		0
12		0
13		0
14		0
15		0
16		0
17		93
18		211
19		211
20		204
21		234
22		208
23		209
24		225
25		212
26		202
27		188
28		221
29		201
30		179
31		198
32		186
33		184
34		204
35		165
36		189
37		177
38		173
39		188
40		155
41		155
42		173
43		174
44		177
45		139
46		159
47		183
48		142
49		140
50		148
51		146
52		132
53		135
54		135
55		141
56		161
57		142
58		143
59		132
60		161
61		137
62		141
63		150
64		132
65		138
66		145
67		145
68		117
69		133
70		132
71		167
72		145
73		185
74		137
75		179
76		157
77		175
78		153
79		165
80		152
81		137
82		138
83		149
84		150
85		137
86		136
87		146
88		124
89		129
90		120
91		119
92		122
93		125
94		137
95		123
96		124
97		117
98		111
99		131
100		123
101		103
102		125
103		124
104		118
105		150
106		139
107		112
108		99
109		102
110		115
111		120
112		123
113		115
114		113
115		90
116		103
117		106
118		118
119		109
120		82
121		96
122		92
123		99
124		117
125		113
126		109
127		101
128		112
129		103
130		110
131		106
132		109
133		119
134		101
135		100
136		117
137		100
138		94
139		95
140		92
141		110
142		114
143		113
144		91
145		114
146		95
147		102
148		112
149		116
150		93
151		99
152		89
153		99
154		116
155		105
156		95
157		101
158		112
159		89
160		105
161		100
162		104
163		84
164		104
165		74
166		90
167		87
168		91
169		102
170		98
171		91
172		84
173		106
174		103
175		101
176		96
177		87
178		105
179		98
180		100
181		100
182		85
183		105
184		87
185		87
186		86
187		93
188		68
189		95
190		99
191		85
192		85
193		106
194		96
195		106
196		90
197		96
198		105
199		90
200		101
201		92
202		82
203		86
204		102
205		91
206		93
207		98
208		76
209		87
210		89
211		86
212		78
213		105
214		109
215		87
216		98
217		96
218		90
219		101
220		115
221		93
222		81
223		87
224		100
225		97
226		100
227		79
228		96
229		88
230		95
231		85
232		106
233		91
234		126
235		101
236		97
237		94
238		81
239		94
240		103
241		99
242		99
243		90
244		95
245		92
246		100
247		100
248		88
249		96
250		83
251		99
252		86
253		83
254		100
255		86
256		100
257		113
258		110
259		90
260		94
261		112
262		107
263		89
264		105
265		97
266		97
267		102
268		113
269		102
270		110
271		102
272		77
273		92
274		103
275		97
276		101
277		116
278		99
279		121
280		116
281		107
282		106
283		119
284		103
285		112
286		115
287		129
288		113
289		118
290		113
291		109
292		110
293		110
294		101
295		107
296		130
297		119
298		108
299		123
300		136
301		111
302		143
303		109
304		103
305		111
306		127
307		126
308		126
309		123
310		126
311		150
312		124
313		127
314		121
315		130
316		128
317		122
318		145
319		118
320		128
321		136
322		144
323		124
324		140
325		137
326		160
327		125
328		154
329		151
330		142
331		159
332		146
333		145
334		166
335		144
336		144
337		166
338		138
339		181
340		191
341		177
342		144
343		174
344		177
345		155
346		107
347		129
348		102
349		77
350		100
351		113
352		98
353		97
354		106
355		99
356		104
357		92
358		101
359		84
360		111
361		97
362		95
363		91
364		100
365		92
366		95
367		98
368		104
369		75
370		99
371		104
372		86
373		78
374		87
375		104
376		81
377		80
378		77
379		98
380		103
381		89
382		81
383		93
384		90
385		85
386		101
387		86
388		69
389		88
390		97
391		98
392		87
393		95
394		107
395		104
396		81
397		86
398		112
399		101
400		111
401		116
402		88
403		81
404		67
405		69
406		51
407		40
408		53
409		45
410		35
411		45
412		44
413		48
414		40
415		40
416		23
417		36
418		35
419		35
420		33
421		26
422		57
423		604
424		740
425		30
426		23
427		29
428		20
429		23
430		24
431		19
432		19
433		16
434		19
435		16
436		8
437		2
438		8
439		10
440		12
441		7
442		8
443		4
444		5
445		6
446		5
447		5
448		7
449		2
450		4
451		4
452		0
453		4
454		1
455		3
456		3
457		0
458		2
459		5
460		1
461		3
462		2
463		3
464		3
465		3
466		3
467		5
468		4
469		3
470		5
