Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	85.23
Elapsed Live Time:	84.02
Start Time:	April 23, 2019, 03:05:46
End Time:	April 23, 2019, 03:07:11
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		1
8		1
9		1
10		0
11		2
12		2
13		1
14		1
15		2
16		0
17		403
18		702
19		748
20		755
21		711
22		739
23		707
24		724
25		714
26		701
27		660
28		689
29		627
30		642
31		646
32		643
33		589
34		629
35		672
36		669
37		630
38		604
39		637
40		597
41		626
42		602
43		560
44		551
45		577
46		543
47		571
48		535
49		602
50		630
51		527
52		575
53		558
54		529
55		543
56		535
57		543
58		611
59		596
60		721
61		746
62		719
63		710
64		743
65		711
66		698
67		643
68		629
69		594
70		582
71		590
72		609
73		558
74		591
75		525
76		545
77		523
78		508
79		544
80		508
81		473
82		509
83		496
84		511
85		515
86		457
87		436
88		500
89		456
90		503
91		487
92		476
93		495
94		463
95		438
96		438
97		457
98		453
99		475
100		447
101		502
102		441
103		448
104		438
105		435
106		481
107		440
108		496
109		451
110		480
111		474
112		416
113		445
114		444
115		460
116		440
117		466
118		462
119		476
120		455
121		480
122		534
123		455
124		483
125		480
126		496
127		471
128		490
129		488
130		493
131		474
132		544
133		571
134		516
135		521
136		555
137		491
138		566
139		547
140		573
141		536
142		563
143		540
144		590
145		587
146		588
147		602
148		606
149		669
150		601
151		636
152		646
153		654
154		651
155		710
156		724
157		687
158		714
159		759
160		796
161		784
162		815
163		768
164		796
165		742
166		633
167		531
168		422
169		331
170		304
171		289
172		259
173		262
174		243
175		236
176		256
177		219
178		204
179		205
180		203
181		176
182		170
183		185
184		138
185		160
186		151
187		133
188		110
189		117
190		125
191		93
192		97
193		65
194		71
195		75
196		63
197		73
198		49
199		33
200		41
201		45
202		42
203		34
204		40
205		34
206		37
207		18
208		35
209		29
210		17
211		27
212		25
213		18
214		33
215		27
216		17
217		35
218		20
219		26
220		19
221		30
222		25
223		23
224		14
225		37
226		31
227		32
228		25
229		34
230		47
231		29
232		59
233		1564
234		8633
235		859
236		9
237		7
238		5
239		4
240		2
241		1
242		2
243		2
244		3
245		4
246		1
247		2
248		3
249		3
250		0
251		3
252		0
253		2
254		2
255		0
256		2
257		1
258		2
259		4
260		2
261		1
262		3
263		1
264		1
265		1
266		2
267		1
268		1
269		2
270		0
271		0
272		2
273		4
274		0
275		0
276		2
277		0
278		1
279		0
280		1
281		1
282		0
283		2
284		2
285		0
286		1
287		0
288		0
289		0
290		0
291		1
292		2
293		1
294		0
295		3
296		1
297		1
298		3
299		1
300		4
301		0
302		0
303		0
304		1
305		1
306		0
307		0
308		0
309		1
310		0
311		1
312		2
313		1
314		1
315		0
316		0
317		2
318		1
319		1
320		1
321		0
322		0
323		0
324		0
325		0
326		0
327		2
328		1
329		0
330		0
331		2
332		1
333		0
334		1
335		0
336		0
337		1
338		1
339		1
340		1
341		0
342		1
343		0
344		1
345		1
346		1
347		0
348		0
349		0
350		1
351		1
352		1
353		0
354		1
355		0
356		0
357		0
358		1
359		1
360		1
361		0
362		2
363		1
364		0
365		1
366		0
367		0
368		0
369		1
370		0
371		0
372		0
373		0
374		2
375		0
376		1
377		0
378		0
379		0
380		0
381		0
382		0
383		0
384		1
385		0
386		0
387		0
388		0
389		0
390		0
391		0
392		0
393		0
394		0
395		1
396		0
397		0
398		2
399		0
400		0
401		0
402		1
403		0
404		1
405		0
406		0
407		0
408		0
409		0
410		0
411		1
412		0
413		2
414		0
415		0
416		0
417		0
418		1
419		0
420		0
421		1
422		0
423		1
424		0
425		0
426		1
427		0
428		0
429		0
430		0
431		2
432		1
433		0
434		0
435		0
436		0
437		0
438		0
439		0
440		0
441		0
442		0
443		0
444		0
445		0
446		0
447		0
448		0
449		0
450		1
451		0
452		0
453		0
454		0
455		0
456		0
457		0
458		0
459		1
460		0
461		0
462		0
463		0
464		0
465		0
466		0
467		0
468		0
469		0
470		0
