Spectrum Name:
Description:
Student ID:
Detector Used:
Comments:
Acquisition Mode:	PHA Direct In
High Voltage:	1000
Conversion Gain:	1024
Coarse Gain:	2
Fine Gain:	1
Upper Discriminator:	1048
Lower Discriminator:	14
Calibration Coefficients:Elapsed Real Time:	164.18
Elapsed Live Time:	162.9
Start Time:	April 23, 2019, 03:23:51
End Time:	April 23, 2019, 03:26:36
ROIs:
ROI:	Low	High	Gross	Net	FWHM	Centroid


Channel Data:
Channel	Energy	Counts
0		0
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		0
9		1
10		2
11		0
12		0
13		0
14		0
15		1
16		1
17		221
18		554
19		546
20		553
21		616
22		803
23		850
24		1149
25		1004
26		891
27		838
28		817
29		718
30		734
31		693
32		679
33		777
34		793
35		848
36		2558
37		19917
38		1874
39		409
40		414
41		430
42		336
43		394
44		377
45		391
46		442
47		446
48		433
49		453
50		441
51		583
52		560
53		430
54		428
55		383
56		384
57		376
58		374
59		414
60		389
61		372
62		404
63		363
64		369
65		331
66		307
67		297
68		270
69		280
70		252
71		276
72		237
73		242
74		242
75		230
76		210
77		199
78		216
79		213
80		212
81		532
82		1675
83		228
84		196
85		168
86		150
87		156
88		172
89		153
90		155
91		163
92		150
93		159
94		153
95		144
96		168
97		158
98		139
99		133
100		184
101		181
102		129
103		139
104		130
105		125
106		139
107		118
108		138
109		122
110		144
111		119
112		141
113		151
114		122
115		121
116		137
117		243
118		2968
119		849
120		102
121		94
122		118
123		114
124		97
125		107
126		129
127		182
128		97
129		94
130		113
131		99
132		92
133		96
134		123
135		78
136		111
137		92
138		93
139		98
140		102
141		99
142		184
143		239
144		94
145		122
146		110
147		92
148		108
149		118
150		80
151		115
152		87
153		76
154		182
155		236
156		82
157		95
158		99
159		81
160		94
161		94
162		112
163		102
164		91
165		96
166		86
167		94
168		110
169		107
170		84
171		117
172		101
173		90
174		94
175		86
176		105
177		89
178		91
179		109
180		99
181		98
182		95
183		88
184		103
185		109
186		90
187		96
188		100
189		92
190		97
191		110
192		81
193		101
194		82
195		68
196		103
197		94
198		100
199		115
200		109
201		110
202		98
203		114
204		111
205		114
206		111
207		123
208		82
209		80
210		89
211		91
212		76
213		82
214		86
215		92
216		77
217		69
218		81
219		93
220		73
221		90
222		80
223		74
224		85
225		73
226		68
227		86
228		84
229		72
230		80
231		81
232		81
233		97
234		72
235		95
236		77
237		74
238		76
239		79
240		71
241		90
242		72
243		74
244		100
245		89
246		70
247		72
248		74
249		71
250		63
251		87
252		79
253		87
254		98
255		89
256		77
257		102
258		95
259		70
260		78
261		74
262		84
263		78
264		92
265		80
266		84
267		84
268		70
269		91
270		81
271		80
272		74
273		66
274		63
275		66
276		92
277		398
278		180
279		48
280		68
281		65
282		58
283		66
284		60
285		67
286		71
287		67
288		67
289		77
290		69
291		64
292		63
293		65
294		61
295		69
296		69
297		52
298		62
299		58
300		73
301		68
302		70
303		67
304		67
305		56
306		73
307		67
308		63
309		89
310		135
311		91
312		71
313		56
314		56
315		51
316		61
317		50
318		58
319		50
320		64
321		48
322		61
323		55
324		57
325		48
326		54
327		42
328		39
329		46
330		38
331		33
332		41
333		29
334		42
335		43
336		23
337		37
338		54
339		40
340		47
341		25
342		20
343		36
344		34
345		40
346		255
347		154
348		26
349		22
350		32
351		34
352		19
353		25
354		30
355		33
356		29
357		22
358		33
359		26
360		29
361		33
362		39
363		22
364		29
365		20
366		32
367		22
368		24
369		27
370		23
371		25
372		23
373		29
374		24
375		25
376		26
377		20
378		28
379		24
380		21
381		27
382		20
383		28
384		28
385		19
386		23
387		24
388		18
389		27
390		27
391		138
392		137
393		42
394		27
395		24
396		21
397		25
398		27
399		27
400		39
401		240
402		92
403		20
404		26
405		28
406		26
407		30
408		28
409		25
410		32
411		23
412		30
413		29
414		28
415		24
416		36
417		20
418		18
419		23
420		32
421		29
422		24
423		32
424		28
425		29
426		27
427		27
428		32
429		26
430		27
431		18
432		12
433		15
434		11
435		20
436		5
437		21
438		31
439		16
440		11
441		18
442		13
443		9
444		9
445		11
446		8
447		9
448		10
449		13
450		8
451		19
452		8
453		8
454		8
455		9
456		3
457		6
458		4
459		3
460		8
461		7
462		0
463		2
464		9
465		9
466		4
467		3
468		11
469		27
